dataset,retriever,metric,language_pair,query_count,original,code_switched,delta_cs,relative_degradation,delta_bootstrap_ci_low,delta_bootstrap_ci_high,queries_with_negative_delta,queries_with_nonnegative_delta
ArguAna,BGE-M3,official,zh-en,1406,0.37884616043888775,0.3718697911215671,-0.006976369317320652,-0.018414781633892315,-0.010823940588815379,-0.0031666900824436775,222,1184
ArguAna,BGE-M3,ndcg@10,zh-en,1406,0.37884616043888775,0.3718697911215671,-0.006976369317320652,-0.018414781633892315,-0.01093405642332219,-0.003373492218066231,222,1184
ArguAna,BGE-M3,recall@10,zh-en,1406,0.7695590327169275,0.7581792318634424,-0.011379800853485111,-0.01478743068391873,-0.020625889046941678,-0.0021337126600284497,29,1377
ArguAna,BGE-M3,mrr,zh-en,1406,0.2650811205960168,0.26046263870797864,-0.004618481888038151,-0.01742290012073968,-0.007469712362401296,-0.0018827167751568408,354,1052
ArguAna,BM25,official,zh-en,1406,0.27854070014922144,0.2541979267633285,-0.02434277338589297,-0.08739395489726247,-0.029405404955181638,-0.01919681391757693,243,1163
ArguAna,BM25,ndcg@10,zh-en,1406,0.27854070014922144,0.2541979267633285,-0.02434277338589297,-0.08739395489726247,-0.029534363962222244,-0.019360877602000268,243,1163
ArguAna,BM25,recall@10,zh-en,1406,0.604551920341394,0.5576102418207681,-0.04694167852062592,-0.07764705882352946,-0.059743954480796585,-0.034139402560455195,76,1330
ArguAna,BM25,mrr,zh-en,1406,0.19034519441380104,0.173899142382074,-0.016446052031727054,-0.08640119380147918,-0.019917995314997827,-0.013130390072759889,498,908
ArguAna,Qwen3-Embedding-0.6B,official,zh-en,1406,0.44035512586945297,0.44068454684198577,0.0003294209725328012,0.0007480802497356665,-0.003528667944550628,0.004583310003252111,207,1199
ArguAna,Qwen3-Embedding-0.6B,ndcg@10,zh-en,1406,0.44035512586945297,0.44068454684198577,0.0003294209725328012,0.0007480802497356665,-0.003939264220173163,0.004506770669336404,207,1199
ArguAna,Qwen3-Embedding-0.6B,recall@10,zh-en,1406,0.8634423897581792,0.8648648648648649,0.0014224751066856944,0.0016474464579901865,-0.007823613086770981,0.011379800853485065,22,1384
ArguAna,Qwen3-Embedding-0.6B,mrr,zh-en,1406,0.310730784501894,0.31051946879101316,-0.0002113157108808439,-0.0006800604298656345,-0.0036268052569372604,0.0035039305926181795,285,1121
ClimateFEVERHardNegatives,BGE-M3,official,zh-en,1000,0.09437296067205328,0.0879545465625456,-0.006418414109507678,-0.06801115556617655,-0.010390383841764939,-0.0025616797597367695,99,901
ClimateFEVERHardNegatives,BGE-M3,ndcg@10,zh-en,1000,0.09437296067205328,0.0879545465625456,-0.006418414109507678,-0.06801115556617655,-0.010251432294802852,-0.002278943391104398,99,901
ClimateFEVERHardNegatives,BGE-M3,recall@10,zh-en,1000,0.12498333333333332,0.11238333333333332,-0.0126,-0.10081344179223897,-0.01931916666666666,-0.006199583333333335,44,956
ClimateFEVERHardNegatives,BGE-M3,mrr,zh-en,1000,0.1357520146044988,0.1303965996285506,-0.005355414975948186,-0.03944998526578558,-0.01081598633926234,7.038499619261315e-05,438,562
ClimateFEVERHardNegatives,BM25,official,zh-en,1000,0.1385791394454582,0.10929856458972677,-0.02928057485573142,-0.2112913601058667,-0.037722773307674755,-0.02063076472631401,217,783
ClimateFEVERHardNegatives,BM25,ndcg@10,zh-en,1000,0.1385791394454582,0.10929856458972677,-0.02928057485573142,-0.2112913601058667,-0.038283321311865945,-0.021136382698194185,217,783
ClimateFEVERHardNegatives,BM25,recall@10,zh-en,1000,0.18301666666666666,0.14586666666666664,-0.037150000000000016,-0.2029869775066024,-0.04923333333333333,-0.024781250000000008,156,844
ClimateFEVERHardNegatives,BM25,mrr,zh-en,1000,0.2017930269351101,0.15567186958611431,-0.04612115734899577,-0.2285567447473138,-0.06017551283153523,-0.032684299193391816,475,525
ClimateFEVERHardNegatives,Qwen3-Embedding-0.6B,official,zh-en,1000,0.21474836544448794,0.18507949910995555,-0.02966886633453239,-0.13815642448837048,-0.03636518252538375,-0.022813628406918092,258,742
ClimateFEVERHardNegatives,Qwen3-Embedding-0.6B,ndcg@10,zh-en,1000,0.21474836544448794,0.18507949910995555,-0.02966886633453239,-0.13815642448837048,-0.036722706249163684,-0.02311321004737436,258,742
ClimateFEVERHardNegatives,Qwen3-Embedding-0.6B,recall@10,zh-en,1000,0.2573166666666667,0.22806666666666667,-0.029250000000000026,-0.1136731653604509,-0.038233750000000004,-0.02063000000000002,101,899
ClimateFEVERHardNegatives,Qwen3-Embedding-0.6B,mrr,zh-en,1000,0.3021872702333877,0.25649838810571274,-0.04568888212767497,-0.15119393378942853,-0.05635912431112583,-0.03505299309384652,511,489
