source_query_id,G,bm25_minus_qwen_ndcg_at_10,actual_winner,analysis_status
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1001,-0.065,0.0,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1020,0.15833333333333333,0.0,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1021,0.2583333333333333,-0.46927872602275644,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1022,-0.4033333333333333,0.2604269905998543,BM25,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1050,0.11166666666666669,0.0,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1056,0.22166666666666668,0.0,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1069,0.16,0.0,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1075,-0.20833333333333331,0.0,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1082,0.415,0.0,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1087,-0.23000000000000004,0.0,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1089,0.9249999999999999,-0.20210734650054757,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1097,-0.30833333333333335,-0.6131471927654584,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1133,-0.7033333333333334,0.0,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1138,-0.20833333333333334,0.28773693348540375,BM25,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1150,0.24,-0.20227711045497346,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1160,-0.28,-0.15642624200758548,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1163,0.20499999999999996,0.1837889117207785,BM25,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1166,0.5483333333333333,-0.2184074368181641,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1169,0.20166666666666666,-0.36907024642854247,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1186,0.32500000000000007,0.22629438553091674,BM25,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1223,-0.3716666666666666,0.0,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::123,0.8716666666666666,-0.23463936301137822,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1251,-0.07000000000000006,-0.4599715079731103,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1253,-0.095,-0.0349468915343453,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::127,0.665,-0.123151194370365,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1271,0.4433333333333333,0.053097570474025524,BM25,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1310,-0.725,0.0,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1313,0.47000000000000003,-0.7359318774274091,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1314,0.4866666666666667,0.0,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1322,0.5933333333333333,-0.18154179253735267,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1331,0.74,0.0,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
mteb/ClimateFEVER_test_top_250_only_w_correct-v2::1334,-0.42666666666666664,-0.18154179253735267,Qwen,POST-HOC DIAGNOSTICS - NOT SELECTION CRITERIA
