id,title,authors,year,venue,peer_reviewed,url_or_doi,task,code_switching,retrievers,method_family,signals_or_features,query_specific,routing,fusion,abstention,risk_sensitive,cross_domain,datasets,relevance_to_H1,relevance_to_H2,relevance_to_H3,novelty_threat,notes
ZENG2026,Code-Switching Information Retrieval: Benchmarks Analysis and the Limits of Current Retrievers,"Qingcheng Zeng; Yuheng Lu; Zeqi Zhou; Heli Qi; Puxuan Yu; Fuheng Zhao; Hitomi Yanaka; Weihao Xuan; Naoto Yokoya",2026,Findings of ACL,yes,https://aclanthology.org/2026.findings-acl.636/,code-switched document retrieval,central,"statistical; dense; cross-encoder; late interaction",benchmark and diagnostic study,"embedding divergence; performance degradation",no,no,no,no,no,yes,CSR-L; CS-MTEB,adjacent,central,adjacent,CRITICAL,"Directly establishes the current code-switching IR problem and evaluates multiple retriever families; no selector proposed."
QUDAR2026,QuDAR: Query-Wise Dual-Perspective Adaptive Retrieval,"Joeun Kim; Seunghyouk Yoon; Xuan-Bach Le; Youngeun Nam; Doyoung Kim; Hwanjun Song; Jae-Gil Lee",2026,ACL 2026 long paper,yes,https://aclanthology.org/2026.acl-long.1791/,hybrid retrieval and RAG retrieval,not specific,"sparse; dense; original and expanded query views",query-adaptive hybrid retrieval,"top-1 minus top-2 margin; blind LLM relevance; query representation",yes,yes,dynamic query-specific weighting,no,no,yes,"broad retrieval/RAG evaluation",central,central,central,CRITICAL,"Direct collision with margin/confidence-based sparse/dense weighting and query-wise adaptation."
QAHS2026,Query-Adaptive Hybrid Search,"Pavel Posokhov; Stepan Skrylnikov; Sergei Masliukhin; Alina Zavgorodniaia; Olesia Koroteeva; Yuri Matveev",2026,Machine Learning and Knowledge Extraction,yes,https://www.mdpi.com/2504-4990/8/4/91/,multilingual hybrid retrieval,not specific,BM25 plus dense encoder,learned adaptive alpha,"query latent representation; antagonist negatives; alpha bins",yes,yes,weighted score fusion,no,no,yes,MLDR; MIRACL,central,central,central,CRITICAL,"Uses BM25, query-driven alpha prediction and complementarity-aware training; makes adaptive alpha a directly covered mechanism."
MIXING2026,When Does Mixing Help? Analyzing Query Embedding Interpolation in Multilingual Dense Retrieval,"Tongyao Zhu; Huang Chao Ming; Min-Yen Kan",2026,ACL 2026 long paper,yes,https://aclanthology.org/2026.acl-long.1455/,multilingual mixed-language dense retrieval,central,dense BGE-M3 and other dense models,controlled mixing study,"embedding-level mixing ratio; language dominance; typological distance",query-conditioned analysis,no,no,no,no,yes,mMARCO; multilingual document indices,adjacent,low,central,HIGH,"Shows that language-mix sensitivity and mixing-ratio effects are structured and predictable, weakening structure-only novelty."
MOR2025,MoR: Better Handling Diverse Queries with a Mixture of Sparse Dense and Human Retrievers,"Jushaan Singh Kalra; Xinran Zhao; To Eun Kim; Fengyu Cai; Fernando Diaz; Tongshuang Wu",2025,EMNLP 2025,yes,https://aclanthology.org/2025.emnlp-main.601/,heterogeneous retriever mixture and RAG,not specific,BM25; multiple dense; human ranked sources,zero-shot mixture and comparative advantage,"retriever/query/document interaction; geometric weighting",yes,implicit,weighted aggregation,no,no,yes,NFCorpus; SciDocs; SciFact; SciQ; simulated humans,adjacent,central,central,CRITICAL,"Direct prior for per-query complementarity analysis, oracle routing and mixture weighting."
ROUTER2025,RouterRetriever: Routing over a Mixture of Expert Embedding Models,"Hyunji Lee; Luca Soldaini; Arman Cohan; Minjoon Seo; Kyle Lo",2025,AAAI-25,yes,https://ojs.aaai.org/index.php/AAAI/article/view/33306,domain-specific dense retrieval,not specific,base dense plus domain-specific LoRA experts,expert routing,"pilot embeddings; similarity to expert centroids",yes,yes,no,no,no,yes,BEIR and domain datasets,adjacent,central,central,HIGH,"Generic query-to-retriever routing is established even without code-switching."
RAGROUTER2025,RAGRouter: Learning to Route Queries to Multiple Retrieval-Augmented Language Models,"Jiarui Zhang; Xiangyu Liu; Yong Hu; Chaoyue Niu; Fan Wu; Guihai Chen",2025,NeurIPS 2025,yes,https://proceedings.neurips.cc/paper_files/paper/2025/hash/1759a83b007f0685c3fbc460fa1b6395-Abstract-Conference.html,query routing among RAG systems,not specific,multiple RAG LLM retrievers,RAG-aware routing,"document embeddings; RAG capability embeddings; score threshold",yes,yes,no,no,central,yes,knowledge-intensive QA tasks,adjacent,central,adjacent,HIGH,"Adjacent direct prior for query routing with retrieval-dependent capability and efficiency thresholds."
ADAPTIVE2025,Adaptive Retrieval Without Self-Knowledge? Bringing Uncertainty Back Home,"Viktor Moskvoretskii; Maria Marina; Mikhail Salnikov; Nikolay Ivanov; Sergey Pletenev; Daria Galimzianova; Nikita Krayko; Vasily Konovalov; Irina Nikishina; Alexander Panchenko",2025,ACL 2025 long paper,yes,https://aclanthology.org/2025.acl-long.319/,adaptive RAG retrieval and uncertainty,not specific,heterogeneous adaptive RAG methods,large comparative study,"uncertainty estimators; external and internal signals",yes,yes,method-dependent,no,central,yes,six QA datasets,central,adjacent,central,HIGH,"Reviews 35 adaptive retrieval and uncertainty methods and finds lightweight uncertainty competitive with complex pipelines."
RARAG2025,Retrieval-Augmented Generation with Estimation of Source Reliability,"Jeongyeon Hwang; Junyoung Park; Hyejin Park; Dongwoo Kim; Sangdon Park; Jungseul Ok",2025,EMNLP 2025,yes,https://aclanthology.org/2025.emnlp-main.1738/,multi-source RAG,not specific,document retrieval from heterogeneous sources,reliability-aware selective retrieval,"cross-source agreement; estimated source reliability",yes,yes,weighted majority voting,selective retrieval,central,yes,source reliability benchmark,central,central,central,CRITICAL,"Direct prior for source reliability estimation, selective retrieval and risk-aware aggregation; target differs from sparse/dense rank choice."
RCRAG2024,Controlling Risk of Retrieval-augmented Generation: A Counterfactual Prompting Framework,"Lu Chen; Ruqing Zhang; Jiafeng Guo; Yixing Fan; Xueqi Cheng",2024,Findings of EMNLP 2024,yes,https://aclanthology.org/2024.findings-emnlp.133/,risk-controlled RAG,not specific,RAG retrieval plus generator,counterfactual risk control,"retrieved-result quality; answer utilization; confidence",yes,implicit,post-processing selection,yes,central,yes,RC-RAG benchmark and public QA datasets,central,adjacent,adjacent,HIGH,"Establishes risk-aware abstention and evaluation of retrieval-induced uncertainty, but not retriever selection."
